figura,goles,equipo
Lionel Messi,6,Argentina
Vinicius Junior,4,Brazil
Kylian Mbappé,4,France
Erling Haaland,4,Norway
Ousmane Dembélé,4,France
Ismael Saibari,3,Morocco
Deniz Undav,3,Germany
Elijah Just,3,New Zealand
Yoane Wissa,3,Congo DR
Harry Kane,3,England
Johan Manzambi,3,Switzerland
Jonathan David,3,Canada
Matheus Cunha,3,Brazil
Brian Brobbey,3,Netherlands
Ismaïla Sarr,3,Senegal
Julián Quiñones,2,Mexico
Cyle Larin,2,Canada
Folarin Balogun,2,United States
Kai Havertz,2,Germany
Crysencio Summerville,2,Netherlands
Daichi Kamada,2,Japan
Yasin Ayari,2,Sweden
Maximiliano Araújo,2,Uruguay
Ramin Rezaeian,2,Iran
Marko Arnautovic,2,Austria
Jude Bellingham,2,England
Daniel Muñoz,2,Colombia
Ruben Vargas,2,Switzerland
Ermin Mahmic,2,Bosnia-Herzegovina
Cody Gakpo,2,Netherlands
