match_no,local,visita,gl,gv
1,MEX,RSA,3,1
2,KOR,CZE,2,1
25,CZE,RSA,2,2
28,MEX,KOR,2,2
53,CZE,MEX,1,2
54,RSA,KOR,1,2
3,CAN,BIH,2,1
5,QAT,SUI,0,2
26,SUI,BIH,2,1
27,CAN,QAT,3,1
49,SUI,CAN,2,2
50,BIH,QAT,2,1
6,BRA,MAR,3,2
7,HAI,SCO,1,2
30,SCO,MAR,1,2
31,BRA,HAI,3,0
51,SCO,BRA,1,3
52,MAR,HAI,2,1
4,USA,PAR,1,2
8,AUS,TUR,1,1
29,USA,AUS,1,2
32,TUR,PAR,1,2
59,TUR,USA,1,1
60,PAR,AUS,2,1
9,GER,CUW,2,0
11,CIV,ECU,1,2
34,GER,CIV,2,1
35,ECU,CUW,2,0
55,CUW,CIV,1,2
56,ECU,GER,1,2
10,NED,JPN,2,2
12,SWE,TUN,1,2
33,NED,SWE,2,1
36,TUN,JPN,2,2
57,JPN,SWE,2,1
58,TUN,NED,1,2
14,BEL,EGY,2,0
16,IRN,NZL,1,2
38,BEL,IRN,2,1
40,NZL,EGY,2,1
65,EGY,IRN,2,1
66,NZL,BEL,2,2
13,ESP,CPV,2,0
15,KSA,URU,1,2
37,ESP,KSA,2,0
39,URU,CPV,2,1
63,CPV,KSA,1,1
64,URU,ESP,1,2
17,FRA,SEN,2,0
18,IRQ,NOR,1,0
42,FRA,IRQ,2,0
43,NOR,SEN,1,1
61,NOR,FRA,1,3
62,SEN,IRQ,1,0
19,ARG,ALG,3,1
20,AUT,JOR,1,1
41,ARG,AUT,2,0
44,JOR,ALG,2,1
71,ALG,AUT,0,1
72,JOR,ARG,1,3
21,POR,COD,2,1
24,UZB,COL,1,0
45,POR,UZB,2,1
48,COL,COD,2,1
69,COL,POR,2,2
70,COD,UZB,1,2
22,ENG,CRO,2,2
23,GHA,PAN,1,0
46,ENG,GHA,2,1
47,PAN,CRO,1,2
67,PAN,ENG,0,2
68,CRO,GHA,2,1
