match_no,local,visita,gl,gv
1,MEX,RSA,2,0
2,KOR,CZE,1,0
25,CZE,RSA,1,1
28,MEX,KOR,2,1
53,CZE,MEX,1,1
54,RSA,KOR,1,2
3,CAN,BIH,2,1
5,QAT,SUI,0,1
26,SUI,BIH,2,1
27,CAN,QAT,1,0
49,SUI,CAN,1,0
50,BIH,QAT,1,2
6,BRA,MAR,1,0
7,HAI,SCO,0,1
30,SCO,MAR,1,2
31,BRA,HAI,2,1
51,SCO,BRA,0,1
52,MAR,HAI,1,1
4,USA,PAR,1,2
8,AUS,TUR,2,1
29,USA,AUS,1,0
32,TUR,PAR,1,2
59,TUR,USA,1,2
60,PAR,AUS,1,1
9,GER,CUW,3,1
11,CIV,ECU,1,2
34,GER,CIV,2,1
35,ECU,CUW,1,0
55,CUW,CIV,1,1
56,ECU,GER,1,1
10,NED,JPN,2,2
12,SWE,TUN,2,1
33,NED,SWE,1,1
36,TUN,JPN,1,2
57,JPN,SWE,1,1
58,TUN,NED,1,2
14,BEL,EGY,1,1
16,IRN,NZL,1,2
38,BEL,IRN,2,0
40,NZL,EGY,1,2
65,EGY,IRN,2,1
66,NZL,BEL,1,1
13,ESP,CPV,1,0
15,KSA,URU,1,2
37,ESP,KSA,2,1
39,URU,CPV,2,1
63,CPV,KSA,1,1
64,URU,ESP,2,1
17,FRA,SEN,1,0
18,IRQ,NOR,0,1
42,FRA,IRQ,2,1
43,NOR,SEN,2,1
61,NOR,FRA,1,1
62,SEN,IRQ,1,1
19,ARG,ALG,1,0
20,AUT,JOR,1,1
41,ARG,AUT,2,1
44,JOR,ALG,1,1
71,ALG,AUT,1,1
72,JOR,ARG,0,1
21,POR,COD,2,1
24,UZB,COL,1,2
45,POR,UZB,2,0
48,COL,COD,1,0
69,COL,POR,1,2
70,COD,UZB,1,1
22,ENG,CRO,1,1
23,GHA,PAN,1,0
46,ENG,GHA,1,0
47,PAN,CRO,1,2
67,PAN,ENG,1,2
68,CRO,GHA,1,0
