match_no,local,visita,gl,gv
1,MEX,RSA,2,0
2,KOR,CZE,2,1
3,CAN,BIH,1,1
4,USA,PAR,2,0
5,QAT,SUI,0,2
6,BRA,MAR,1,1
7,HAI,SCO,1,2
8,AUS,TUR,1,1
9,GER,CUW,3,0
10,NED,JPN,2,1
11,CIV,ECU,1,1
12,SWE,TUN,1,1
13,ESP,CPV,3,0
14,BEL,EGY,2,0
15,KSA,URU,0,1
16,IRN,NZL,2,0
17,FRA,SEN,2,0
18,IRQ,NOR,0,2
19,ARG,ALG,2,0
20,AUT,JOR,2,0
21,POR,COD,2,0
22,ENG,CRO,2,1
23,GHA,PAN,1,1
24,UZB,COL,1,2
25,CZE,RSA,1,1
26,SUI,BIH,2,1
27,CAN,QAT,2,0
28,MEX,KOR,1,1
29,USA,AUS,1,1
30,SCO,MAR,0,2
31,BRA,HAI,3,0
32,TUR,PAR,2,1
33,NED,SWE,2,0
34,GER,CIV,2,1
35,ECU,CUW,1,0
36,TUN,JPN,0,1
37,ESP,KSA,2,0
38,BEL,IRN,2,1
39,URU,CPV,2,0
40,NZL,EGY,0,1
41,ARG,AUT,2,1
42,FRA,IRQ,3,0
43,NOR,SEN,1,1
44,JOR,ALG,1,2
45,POR,UZB,2,0
46,ENG,GHA,2,0
47,PAN,CRO,0,2
48,COL,COD,1,0
49,SUI,CAN,2,0
50,BIH,QAT,2,1
51,SCO,BRA,0,2
52,MAR,HAI,3,0
53,CZE,MEX,1,2
54,RSA,KOR,1,2
55,CUW,CIV,0,2
56,ECU,GER,1,2
57,JPN,SWE,2,1
58,TUN,NED,0,2
59,TUR,USA,2,2
60,PAR,AUS,0,0
61,NOR,FRA,1,2
62,SEN,IRQ,2,0
63,CPV,KSA,1,1
64,URU,ESP,1,2
65,EGY,IRN,1,1
66,NZL,BEL,0,3
67,PAN,ENG,0,3
68,CRO,GHA,2,0
69,COL,POR,1,2
70,COD,UZB,1,0
71,ALG,AUT,1,1
72,JOR,ARG,0,2
