match_no,local,visita,gl,gv
1,MEX,RSA,3,2
2,KOR,CZE,2,0
25,CZE,RSA,2,1
28,MEX,KOR,1,1
53,CZE,MEX,2,1
54,RSA,KOR,1,3
3,CAN,BIH,2,1
5,QAT,SUI,1,4
26,SUI,BIH,2,0
27,CAN,QAT,3,2
49,SUI,CAN,3,1
50,BIH,QAT,1,1
6,BRA,MAR,1,1
7,HAI,SCO,0,2
30,SCO,MAR,1,3
31,BRA,HAI,5,0
51,SCO,BRA,0,3
52,MAR,HAI,4,0
4,USA,PAR,1,1
8,AUS,TUR,1,2
29,USA,AUS,2,0
32,TUR,PAR,2,2
59,TUR,USA,2,1
60,PAR,AUS,2,0
9,GER,CUW,6,0
11,CIV,ECU,1,1
34,GER,CIV,3,2
35,ECU,CUW,3,0
55,CUW,CIV,0,4
56,ECU,GER,1,3
10,NED,JPN,1,2
12,SWE,TUN,2,2
33,NED,SWE,2,0
36,TUN,JPN,0,3
57,JPN,SWE,1,0
58,TUN,NED,2,2
14,BEL,EGY,2,0
16,IRN,NZL,1,1
38,BEL,IRN,2,1
40,NZL,EGY,2,2
65,EGY,IRN,1,0
66,NZL,BEL,1,3
13,ESP,CPV,4,0
15,KSA,URU,1,3
37,ESP,KSA,2,0
39,URU,CPV,5,0
63,CPV,KSA,1,2
64,URU,ESP,2,2
17,FRA,SEN,2,1
18,IRQ,NOR,1,3
42,FRA,IRQ,3,0
43,NOR,SEN,1,1
61,NOR,FRA,1,2
62,SEN,IRQ,3,1
19,ARG,ALG,1,1
20,AUT,JOR,1,2
41,ARG,AUT,2,0
44,JOR,ALG,1,2
71,ALG,AUT,1,1
72,JOR,ARG,0,4
21,POR,COD,5,0
24,UZB,COL,0,3
45,POR,UZB,5,0
48,COL,COD,3,0
69,COL,POR,2,3
70,COD,UZB,1,1
22,ENG,CRO,1,1
23,GHA,PAN,2,0
46,ENG,GHA,4,1
47,PAN,CRO,0,3
67,PAN,ENG,0,4
68,CRO,GHA,2,1
