match_no,fecha,hora,sede,local,visita,gl,gv
1,2026-06-11,15:00,Estadio Ciudad de México,México,Sudáfrica,2,0
2,2026-06-11,22:00,Estadio Guadalajara,Corea del Sur,Chequia,2,1
3,2026-06-12,15:00,Estadio Toronto,Canadá,Bosnia y Herzegovina,1,1
4,2026-06-12,21:00,Estadio Los Angeles,Estados Unidos,Paraguay,4,1
5,2026-06-13,15:00,Estadio Bahía de San Francisco,Catar,Suiza,1,1
6,2026-06-13,18:00,Estadio Nueva York/Nueva Jersey,Brasil,Marruecos,1,1
7,2026-06-13,21:00,Estadio Boston,Haití,Escocia,0,1
8,2026-06-14,00:00,Estadio BC Place Vancouver,Australia,Turquía,2,0
9,2026-06-14,13:00,Estadio Houston,Alemania,Curazao,7,1
10,2026-06-14,16:00,Estadio Dallas,Países Bajos,Japón,2,2
11,2026-06-14,19:00,Estadio Filadelfia,Costa de Marfil,Ecuador,1,0
12,2026-06-14,22:00,Estadio Monterrey,Suecia,Túnez,5,1
13,2026-06-15,12:00,Estadio Atlanta,España,Cabo Verde,0,0
14,2026-06-15,15:00,Estadio Seattle,Bélgica,Egipto,1,1
15,2026-06-15,18:00,Estadio Miami,Arabia Saudita,Uruguay,1,1
16,2026-06-15,21:00,Estadio Los Angeles,Irán,Nueva Zelanda,2,2
17,2026-06-16,15:00,Estadio Nueva York/Nueva Jersey,Francia,Senegal,3,1
18,2026-06-16,18:00,Estadio Boston,Irak,Noruega,1,4
19,2026-06-16,21:00,Estadio Kansas City,Argentina,Argelia,3,0
20,2026-06-17,00:00,Estadio Bahía de San Francisco,Austria,Jordania,3,1
21,2026-06-17,13:00,Estadio Houston,Portugal,RD Congo,1,1
22,2026-06-17,16:00,Estadio Dallas,Inglaterra,Croacia,4,2
23,2026-06-17,19:00,Estadio Toronto,Ghana,Panamá,1,0
24,2026-06-17,22:00,Estadio Ciudad de México,Uzbekistán,Colombia,1,3
25,2026-06-18,12:00,Estadio Atlanta,Chequia,Sudáfrica,1,1
26,2026-06-18,15:00,Estadio Los Angeles,Suiza,Bosnia y Herzegovina,4,1
27,2026-06-18,18:00,Estadio BC Place Vancouver,Canadá,Catar,6,0
28,2026-06-18,21:00,Estadio Guadalajara,México,Corea del Sur,1,0
29,2026-06-19,15:00,Estadio Seattle,Estados Unidos,Australia,2,0
30,2026-06-19,18:00,Estadio Boston,Escocia,Marruecos,0,1
31,2026-06-19,20:30,Estadio Filadelfia,Brasil,Haití,3,0
32,2026-06-19,23:00,Estadio Bahía de San Francisco,Turquía,Paraguay,0,1
33,2026-06-20,13:00,Estadio Houston,Países Bajos,Suecia,5,1
34,2026-06-20,16:00,Estadio Toronto,Alemania,Costa de Marfil,,
35,2026-06-20,20:00,Estadio Kansas City,Ecuador,Curazao,,
36,2026-06-21,00:00,Estadio Monterrey,Túnez,Japón,,
37,2026-06-21,12:00,Estadio Atlanta,España,Arabia Saudita,,
38,2026-06-21,15:00,Estadio Los Angeles,Bélgica,Irán,,
39,2026-06-21,18:00,Estadio Miami,Uruguay,Cabo Verde,,
40,2026-06-21,21:00,Estadio BC Place Vancouver,Nueva Zelanda,Egipto,,
41,2026-06-22,13:00,Estadio Dallas,Argentina,Austria,,
42,2026-06-22,17:00,Estadio Filadelfia,Francia,Irak,,
43,2026-06-22,20:00,Estadio Nueva York/Nueva Jersey,Noruega,Senegal,,
44,2026-06-22,23:00,Estadio Bahía de San Francisco,Jordania,Argelia,,
45,2026-06-23,13:00,Estadio Houston,Portugal,Uzbekistán,,
46,2026-06-23,16:00,Estadio Boston,Inglaterra,Ghana,,
47,2026-06-23,19:00,Estadio Toronto,Panamá,Croacia,,
48,2026-06-23,22:00,Estadio Guadalajara,Colombia,RD Congo,,
49,2026-06-24,15:00,Estadio BC Place Vancouver,Suiza,Canadá,,
50,2026-06-24,15:00,Estadio Seattle,Bosnia y Herzegovina,Catar,,
51,2026-06-24,18:00,Estadio Miami,Escocia,Brasil,,
52,2026-06-24,18:00,Estadio Atlanta,Marruecos,Haití,,
53,2026-06-24,21:00,Estadio Ciudad de México,Chequia,México,,
54,2026-06-24,21:00,Estadio Monterrey,Sudáfrica,Corea del Sur,,
55,2026-06-25,16:00,Estadio Filadelfia,Curazao,Costa de Marfil,,
56,2026-06-25,16:00,Estadio Nueva York/Nueva Jersey,Ecuador,Alemania,,
57,2026-06-25,19:00,Estadio Dallas,Japón,Suecia,,
58,2026-06-25,19:00,Estadio Kansas City,Túnez,Países Bajos,,
59,2026-06-25,22:00,Estadio Los Angeles,Turquía,Estados Unidos,,
60,2026-06-25,22:00,Estadio Bahía de San Francisco,Paraguay,Australia,,
61,2026-06-26,15:00,Estadio Boston,Noruega,Francia,,
62,2026-06-26,15:00,Estadio de Toronto,Senegal,Irak,,
63,2026-06-26,20:00,Estadio Houston,Cabo Verde,Arabia Saudita,,
64,2026-06-26,20:00,Estadio Guadalajara,Uruguay,España,,
65,2026-06-26,23:00,Estadio Seattle,Egipto,Irán,,
66,2026-06-26,23:00,Estadio BC Place Vancouver,Nueva Zelanda,Bélgica,,
67,2026-06-27,17:00,Estadio Nueva York/Nueva Jersey,Panamá,Inglaterra,,
68,2026-06-27,17:00,Estadio Filadelfia,Croacia,Ghana,,
69,2026-06-27,19:30,Estadio Miami,Colombia,Portugal,,
70,2026-06-27,19:30,Estadio Atlanta,RD Congo,Uzbekistán,,
71,2026-06-27,22:00,Estadio Kansas City,Argelia,Austria,,
72,2026-06-27,22:00,Estadio Dallas,Jordania,Argentina,,
