match_no,ganador,g_gan,g_per,duracion,pen_gan,pen_per
73,CAN,1,0,REGULAR,,
74,PAR,5,4,PENALTY_SHOOTOUT,4,3
75,MAR,4,3,PENALTY_SHOOTOUT,3,2
76,BRA,2,1,REGULAR,,
77,FRA,3,0,REGULAR,,
78,NOR,2,1,REGULAR,,
79,MEX,2,0,REGULAR,,
80,ENG,2,1,REGULAR,,
81,USA,2,0,REGULAR,,
82,BEL,3,2,EXTRA_TIME,,
83,POR,2,1,REGULAR,,
84,ESP,3,0,REGULAR,,
85,SUI,2,0,REGULAR,,
86,ARG,3,2,EXTRA_TIME,,
87,COL,1,0,REGULAR,,
88,EGY,5,3,PENALTY_SHOOTOUT,4,2
89,FRA,1,0,REGULAR,,
90,MAR,3,0,REGULAR,,
91,NOR,2,1,REGULAR,,
92,ENG,3,2,REGULAR,,
93,ESP,1,0,REGULAR,,
94,BEL,4,1,REGULAR,,
95,ARG,3,2,REGULAR,,
96,SUI,4,3,PENALTY_SHOOTOUT,4,3
97,FRA,2,0,REGULAR,,
98,ESP,2,1,REGULAR,,
